Item Name,Selling Price (Customer)
134 VALVE BIG AND,250
L G FRONT LOAD DRAIN MOTOR,2300
GODREJ THERMOSTAT 00036,200
MICRO WAVE TURN TABLE MOTOR 3 WAAT,250
MICRO WAVE TURN TABLE MOTOR 4 WAAT,250
CLAMP METER BIG DVM,500
MARUTI REFRIGERATION,
ANCOR FASTNER 10 MM,25
ANCOR FASTNER 8 MM,15
NUT BOLT 12 NO,20
GAS R 22 60 KG CYLENDER,850
GAS R 32 40 KG CYLENDER,800
THERMOSTAT GODREJ FROST FREE,210
COMRESSOR GODREJ 00377,2650
COMPRESSOR GODREJ 00378,2900
SPLIT A/C 1.5 TON INV 3 STAR GODREJ,32500
GODRJ SPD CHANNEL,
GODREJ SUSPENSION ROD SET,170
MICROWAVE PULLY,70
TEMPERATURE METER,200
GODREJ SENSOR 00064,300
GODREJ PCB 00211 EDGE DIGI,1500
WASHING MACHINE COVER TL/FL,400
AC SERVICE JACKET,550
WHIRLPOOL ZENZY BOTTLE SHELF,200
WHIRLPOOL ZENZY BIG BOTTLE SHELF,250
WHIRLPOOL GENIUS BOTTLE SHELF,200
GODREJ MECHANICAL ASS OOO27 ALR,2050
GODREJ OLD MECHANICAL ASS 00001 OLD,2100
GODREJ KNOB PCB 02847,1700
AC SENSOR ALL MODEL DOUBLE,200
SENSOR GODREJ 00066,350
DELIVERY CHARGE,
MARUTI REFRIGERATION,
L.G FAN MOTOR DC SQUARE,600
SWING MOTOR HITACHI,250
ODU STAND DAIKEN,330
WATER LAVEL SENSOR HAIER,300
SCALE LUSTER POWDER L.G,50
MICRO WAVE CAPACITOR 1 MFD DAIKEN,250
GODREJ INVERTOR PCB 02839,1750
BATALI PIPE 6 MTR,800
134 HC VALVE AND,250
134 HC VALVE RAISE,250
INLET PIPE 3 MTR GODREJ,110
INLET PIPE 2 MTR GODREJ,90
CONDENSOR SPRAY,250
COIL SHINE,120
MARUTI REFRIGERATION,
TROLLY GODREJ WHEEL BARROW GODREJ 00095,1150
INDOOR PLATE SPLIT AC,80
GODREJ BOTTLE SHELF 01153,170
GODREJ PULSATOR 04127 ALLURE,550
GAS R 22 CAN,850
RELAY GREATWALL ,250
MARUTI REFRIGERATION,
SPLIT A/C 1 TON INV 3 STAR GODREJ,29000
3 CORE WIRE (36.6),50
4 CORE WIRE (50) INVERTOR AC,60
SPLIT A/C 1.5 TON INV 3 STAR GODREJ,32500
L.G DOOR LOCK FRONT LOAD W/M,450
FAN MOTOR PANASONIC 00007,700
FAN MOTOR GODREJ 00380,430
CHARGING PIN VALVE,30
CAPACITOR 50/6 DIKEN,260
BATALI PUMP,4200
ODU FAN MOTOR VOLTAS 2712 CW,1000
L.G IDU BLOWER MOTOR,1150
COPPER PIPE 3/16,35
COPPER PIPE 3/8 (2.160 KG),75
MARUTI REFRIGERATION,
HEATING ELIMENT GEASER THEETA,350
HEATING ELIMENT GEASER THEETA,400
THERMOSTAT GEASER LONG TTE,130
THERMOSTAT GEASER SMALL TTE,120
THERMOSTAT GEASER LONG EXPO,130
THERMOSTAT GEASER SMALL EXPO,120
THERMOSTAT GEASER LONG LOCAL,120
DRAIN PIPE PVC AC,50
ALUMINUME FAN BLADE D.FREEZER,150
REMOTE UNIVERSAL,500
REMOTE SAMSUNG LOCAL,450
REMOTE GODREJ BIG,600
REMOTE GODREJ GLASS,550
REMOTE VOLTAS ORIGENAL,1000
REMOTE HITACHI,900
REMOTE LG ORIGENAL,600
REMOTE LG MED,550
REMOTE LG SMALL,500
REMOTE PANASONIC,550
